parking_undistorted-[i].jpg,latitude,longitude,altitude,SFV(%),pixel_col,pixel_row
parking_undistorted-0.jpg,40.45355916,-3.727043792,660,66.52699812,120,175
parking_undistorted-1.jpg,40.45356234,-3.727010204,660,64.9119812,145,175
parking_undistorted-10.jpg,40.45356415,-3.726980648,660,64.49272452,355,175
parking_undistorted-100.jpg,40.45356592,-3.726951784,660,25.15740955,490,460
parking_undistorted-103.jpg,40.45357295,-3.726861927,660,25.63014029,422,460
parking_undistorted-105.jpg,40.45357858,-3.726802818,660,25.32184855,377,460
parking_undistorted-109.jpg,40.4533206,-3.726539608,660,24.70200139,326,482
parking_undistorted-11.jpg,40.45331659,-3.726568019,660,63.54650988,377,175
parking_undistorted-110.jpg,40.45331289,-3.726597734,660,25.64093552,327,502
parking_undistorted-111.jpg,40.4533125,-3.726626953,660,31.1921953,327,523
parking_undistorted-112.jpg,40.45330827,-3.726657261,660,36.59985339,280,577
parking_undistorted-12.jpg,40.45330693,-3.726686112,660,62.66707504,400,175
parking_undistorted-13.jpg,40.45330176,-3.72671172,660,59.21963025,425,175
parking_undistorted-14.jpg,40.45329051,-3.726754445,660,54.46395397,457,186
parking_undistorted-15.jpg,40.453278,-3.726721574,660,60.7133891,501,129
parking_undistorted-16.jpg,40.4535867,-3.726711449,660,55.41845332,501,106
parking_undistorted-17.jpg,40.45325312,-3.726720575,660,68.66872194,501,85
parking_undistorted-18.jpg,40.45323462,-3.726720129,660,70.12005302,414,104
parking_undistorted-19.jpg,40.45317758,-3.726772252,660,70.19662385,394,104
parking_undistorted-2.jpg,40.45359104,-3.726679653,660,64.78796156,176,175
parking_undistorted-20.jpg,40.45359473,-3.72664919,660,69.39576827,372,104
parking_undistorted-21.jpg,40.45359195,-3.726603197,660,70.07837841,350,104
parking_undistorted-22.jpg,40.45365306,-3.726559385,660,70.35177393,322,105
parking_undistorted-23.jpg,40.45368014,-3.726561342,660,70.15469819,300,104
parking_undistorted-24.jpg,40.45369959,-3.726568055,660,69.94356353,278,101
parking_undistorted-25.jpg,40.45366874,-3.726676131,660,71.20560147,253,102
parking_undistorted-26.jpg,40.45366488,-3.726705828,660,72.38755385,231,101
parking_undistorted-27.jpg,40.4536609,-3.726736875,660,72.16461976,186,101
parking_undistorted-28.jpg,40.45366013,-3.726765565,660,71.61305872,162,101
parking_undistorted-29.jpg,40.45365787,-3.726797129,660,72.23817797,140,99
