,latitude,longitude,SFV(%),production - ISO (Wh),production - SFV (Wh),%?
parking_undistorted-75.jpg,40.45315252,-3.72684087,43.28486358,339407.3733,277443.2093,-18.25657569
parking_undistorted-76.jpg,40.45315734,-3.726817967,39.87884235,339407.3869,273064.967,-19.54654568
parking_undistorted-77.jpg,40.45314302,-3.726761176,37.23501471,339407.4242,270875.8719,-20.19153011
parking_undistorted-78.jpg,40.45314642,-3.726735261,33.82698507,339407.4398,266500.0014,-21.48080149
parking_undistorted-79.jpg,40.45315525,-3.72671141,30.00421767,339407.4432,263219.7116,-22.4472778
parking_undistorted-8.jpg,40.45315833,-3.726679207,62.73385485,339407.4542,298216.4137,-12.1361626
parking_undistorted-80.jpg,40.45319911,-3.726611612,30.53820508,339407.4642,263219.7258,-22.4472784
parking_undistorted-81.jpg,40.45321196,-3.726538603,27.66893283,339407.5054,259944.9732,-23.41213171
parking_undistorted-82.jpg,40.45320515,-3.7265513,19.94908667,339407.5013,251247.7992,-25.97458858
parking_undistorted-83.jpg,40.45321794,-3.726492785,53.80167904,339407.5259,288386.0762,-15.03250394
parking_undistorted-84.jpg,40.45321977,-3.726467111,22.52337293,339407.546,254500.0913,-25.01637211
parking_undistorted-85.jpg,40.4532218,-3.726446325,23.79419769,339407.5491,255586.8306,-24.69618566
parking_undistorted-86.jpg,40.4532164,-3.726432018,24.72158343,339407.5541,256675.0645,-24.3755593
parking_undistorted-87.jpg,40.45322048,-3.726408355,26.4151796,339407.5635,258854.7835,-23.73334853
parking_undistorted-88.jpg,40.45322316,-3.726374448,25.34394111,339407.588,257764.5483,-24.05457114
parking_undistorted-89.jpg,40.45322746,-3.726347948,26.26881634,339407.5977,258854.8141,-23.73334721
parking_undistorted-9.jpg,40.45323231,-3.726320305,62.3587833,339407.6078,298216.5525,-12.13616146
parking_undistorted-90.jpg,40.4532418,-3.726293032,27.18164108,339407.623,259945.0743,-23.41212845
parking_undistorted-92.jpg,40.45322874,-3.726611343,21.62335184,339407.4711,253414.078,-25.33632888
parking_undistorted-99.jpg,40.4533232,-3.72647914,25.68612486,339407.5044,257764.4731,-24.0545746
