parking_undistorted-[i].jpg,latitude,longitude,altitude,SFV(%)
parking_undistorted-84.jpg,40.45321977,-3.726467111,660,18.0
parking_undistorted-85.jpg,40.4532218,-3.726446325,660,19.0
parking_undistorted-86.jpg,40.4532164,-3.726432018,660,20.0
parking_undistorted-87.jpg,40.45322048,-3.726408355,660,22.0
parking_undistorted-88.jpg,40.45322316,-3.726374448,660,22.0
parking_undistorted-89.jpg,40.45322746,-3.726347948,660,22.0
parking_undistorted-9.jpg,40.45323231,-3.726320305,660,56.0
parking_undistorted-90.jpg,40.4532418,-3.726293032,660,23.0
parking_undistorted-91.jpg,40.45322541,-3.726659774,660,0.0
parking_undistorted-92.jpg,40.45322874,-3.726611343,660,18.0
parking_undistorted-93.jpg,40.45322735,-3.726581414,660,30.0
parking_undistorted-94.jpg,40.45323331,-3.726549822,660,0.0
parking_undistorted-95.jpg,40.45324093,-3.726530321,660,0.0
parking_undistorted-96.jpg,40.45324388,-3.726511151,660,0.0
parking_undistorted-97.jpg,40.45324789,-3.726479695,660,0.0
parking_undistorted-98.jpg,40.45325269,-3.726455954,660,0.0
parking_undistorted-99.jpg,40.4533232,-3.72647914,660,22.0
