June 15th,latitude,longitude,SFV(%),PV production(Wh) - Isotropic,PV production(Wh) - SFV,%change
parking_undistorted-92.jpg,40.45322874,-3.726611343,21.62335184,1608.510759,1364.512538,-15.16920043
parking_undistorted-79.jpg,40.45315525,-3.72671141,30.00421767,1608.510666,1392.650103,-13.4199025
parking_undistorted-72.jpg,40.45314014,-3.72697888,41.65478354,1608.507652,1426.925521,-11.28885714
parking_undistorted-51.jpg,40.45293587,-3.726820032,50.25808136,1608.509496,1454.878469,-9.551142059
parking_undistorted-15.jpg,40.453278,-3.726721574,60.7133891,1608.510533,1485.832924,-7.626783069
parking_undistorted-21.jpg,40.45359195,-3.726603197,70.07837841,1608.510386,1516.674799,-5.709356172
parking_undistorted-30.jpg,40.45364973,-3.726854977,82.55716452,1608.51119,1553.535719,-3.417786046
