,latitude,longitude,SFV(%),production - ISO (Wh),production - SFV (Wh),%?
parking_undistorted-45.jpg,40.45285772,-3.726872135,49.94978962,1608.379516,1451.659446,-9.743973207
parking_undistorted-46.jpg,40.45290455,-3.72686714,46.08810918,1608.37947,1442.349531,-10.32280889
parking_undistorted-48.jpg,40.45296642,-3.726867583,47.54797602,1608.509438,1445.571058,-10.1297746
parking_undistorted-49.jpg,40.45299012,-3.726870797,46.45564917,1608.509412,1442.466419,-10.32278652
parking_undistorted-5.jpg,40.45302724,-3.726882864,62.05952943,1608.509367,1492.009147,-7.24274425
parking_undistorted-50.jpg,40.45304579,-3.72688005,47.31826352,1608.509349,1445.570958,-10.12977578
parking_undistorted-51.jpg,40.45293587,-3.726820032,50.25808136,1608.509496,1454.878469,-9.551142037
parking_undistorted-53.jpg,40.4530281,-3.726840067,47.80480212,1608.509389,1445.571002,-10.1297753
parking_undistorted-54.jpg,40.45305944,-3.726843483,74.15395507,1608.509355,1528.978852,-4.944360618
parking_undistorted-55.jpg,40.45307366,-3.726889134,71.6705496,1608.509315,1519.751709,-5.518003841
parking_undistorted-6.jpg,40.45294413,-3.727024854,62.02639058,1608.505339,1492.005052,-7.24276662
parking_undistorted-60.jpg,40.45293741,-3.726983552,51.73928762,1608.505369,1457.974524,-9.35842973
parking_undistorted-61.jpg,40.45297781,-3.726994815,55.15484882,1608.505321,1470.364672,-8.588137525
parking_undistorted-62.jpg,40.45298835,-3.727039958,55.3825529,1608.505285,1470.364634,-8.588137874
parking_undistorted-63.jpg,40.45302872,-3.72704711,52.87755696,1608.505239,1461.073575,-9.165755959
parking_undistorted-64.jpg,40.45301453,-3.72700233,53.73916711,1608.505279,1464.171716,-8.973148193
parking_undistorted-67.jpg,40.45305424,-3.727052983,35.56125164,1608.505093,1408.241066,-12.45031973
parking_undistorted-7.jpg,40.45316563,-3.727097256,62.89879596,1608.15312,1491.678065,-7.242783854
parking_undistorted-72.jpg,40.45314014,-3.72697888,41.65478354,1608.507652,1426.925521,-11.28885714
parking_undistorted-73.jpg,40.45313964,-3.726949506,41.67913558,1608.507785,1426.925649,-11.28885651
parking_undistorted-74.jpg,40.45314981,-3.726873866,39.87884235,1608.508721,1420.703531,-11.67573343
parking_undistorted-75.jpg,40.45315252,-3.72684087,43.28486358,1608.510598,1433.147359,-10.9022122
parking_undistorted-76.jpg,40.45315734,-3.726817967,39.87884235,1608.510606,1420.705458,-11.6757171
parking_undistorted-77.jpg,40.45314302,-3.726761176,37.23501471,1608.510651,1414.478233,-12.06286191
parking_undistorted-78.jpg,40.45314642,-3.726735261,33.82698507,1608.510662,1402.011197,-12.83792953
parking_undistorted-79.jpg,40.45315525,-3.72671141,30.00421767,1608.510666,1392.650103,-13.41990252
parking_undistorted-8.jpg,40.45315833,-3.726679207,62.73385485,1608.511108,1492.010919,-7.242734461
parking_undistorted-80.jpg,40.45319911,-3.726611612,30.53820508,1608.510906,1392.650358,-13.41989955
parking_undistorted-81.jpg,40.45321196,-3.726538603,27.66893283,1608.510933,1383.280145,-14.00244059
parking_undistorted-82.jpg,40.45320515,-3.7265513,19.94908667,1608.510933,1358.249055,-15.55860598
parking_undistorted-83.jpg,40.45321794,-3.726492785,53.80167904,1608.509638,1464.176173,-8.97311785
parking_undistorted-84.jpg,40.45321977,-3.726467111,22.52337293,1608.50965,1367.641752,-14.97460078
parking_undistorted-85.jpg,40.4532218,-3.726446325,23.79419769,1608.508572,1370.770035,-14.78006034
parking_undistorted-86.jpg,40.4532164,-3.726432018,24.72158343,1608.508586,1373.898458,-14.5855689
parking_undistorted-87.jpg,40.45322048,-3.726408355,26.4151796,1608.508594,1380.152311,-14.19677112
parking_undistorted-88.jpg,40.45322316,-3.726374448,25.34394111,1608.509133,1377.026428,-14.39113404
parking_undistorted-89.jpg,40.45322746,-3.726347948,26.26881634,1608.509143,1380.152863,-14.19676603
parking_undistorted-9.jpg,40.45323231,-3.726320305,62.3587833,1608.510058,1492.009844,-7.242740834
parking_undistorted-90.jpg,40.4532418,-3.726293032,27.18164108,1608.510063,1383.27923,-14.00245098
parking_undistorted-92.jpg,40.45322874,-3.726611343,21.62335184,1608.510759,1364.512538,-15.16920039
parking_undistorted-99.jpg,40.4533232,-3.72647914,25.68612486,1608.509536,1377.026836,-14.39113013
